"local_site","snow_treatment","location","distance_from_top","date","snow_depth","comments"
"Trough","Early","Middle",20,2018-05-16,"225",""
"Trough","Early","Top",1,2018-05-16,"377",""
"Trough","Early","Topmiddle",10.5,2018-05-16,"220",""
"Audubon","Control","Bottom",39,2018-05-18,NaN,""
"Audubon","Control","Bottommiddle",29.5,2018-05-18,"271",""
"Audubon","Control","Middle",20,2018-05-18,"217",""
"Audubon","Control","Top",1,2018-05-18,"18",""
"Audubon","Control","Topmiddle",10.5,2018-05-18,"139",""
"Audubon","Early","Bottom",39,2018-05-18,"95",""
"Audubon","Early","Bottommiddle",29.5,2018-05-18,"180",""
"Audubon","Early","Middle",20,2018-05-18,"100",""
"Audubon","Early","Top",1,2018-05-18,"10",""
"Audubon","Early","Topmiddle",10.5,2018-05-18,"95",""
"East_Knoll","Control","Bottom",39,2018-05-18,"128",""
"East_Knoll","Control","Bottommiddle",29.5,2018-05-18,"68",""
"East_Knoll","Control","Middle",20,2018-05-18,"33",""
"East_Knoll","Control","Top",1,2018-05-18,"0",""
"East_Knoll","Control","Topmiddle",10.5,2018-05-18,"0",""
"East_Knoll","Early","Bottom",39,2018-05-18,"0",""
"East_Knoll","Early","Bottommiddle",29.5,2018-05-18,"10",""
"East_Knoll","Early","Middle",20,2018-05-18,"0",""
"East_Knoll","Early","Top",1,2018-05-18,"0",""
"East_Knoll","Early","Topmiddle",10.5,2018-05-18,"0",""
"Lefty","Control","Bottom",39,2018-05-18,NaN,""
"Lefty","Control","Bottommiddle",29.5,2018-05-18,"145",""
"Lefty","Control","Middle",20,2018-05-18,"196",""
"Lefty","Control","Top",1,2018-05-18,"0",""
"Lefty","Control","Topmiddle",10.5,2018-05-18,"67",""
"Lefty","Early","Bottom",39,2018-05-18,"187",""
"Lefty","Early","Bottommiddle",29.5,2018-05-18,"240",""
"Lefty","Early","Middle",20,2018-05-18,"137",""
"Lefty","Early","Top",1,2018-05-18,"0",""
"Lefty","Early","Topmiddle",10.5,2018-05-18,"30",""
"Soddie","Control","Bottom",39,2018-05-18,"0",""
"Soddie","Control","Bottommiddle",29.5,2018-05-18,"0",""
"Soddie","Control","Middle",20,2018-05-18,"0",""
